"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Jhevon Hill","Cajon (San Bernardino, CA)","6-3",185,86,NA,67,87,"CA","ATH",2018,"arizona","Commit",4
"Zach Williams","Johns Creek (Alpharetta, GA)","6-3",205,86,NA,132,95,"GA","WR",2018,"arizona","Commit",4
"McKenzie Barnes","Edison (Fresno, CA)","6-0",170,85,NA,94,98,"CA","CB",2018,"arizona","Commit",5
"Issaiah Johnson","Los Alamitos (Los Alamitos, CA)","6-3",220,85,NA,39,100,"CA","OLB",2018,"arizona","Commit",5
"Jake Peters","Santa Margarita Catholic (Rancho Santa Margarita, CA)","6-5",225,85,NA,45,112,"CA","TE",2018,"arizona","Commit",5
"Donovan Laie","Oceanside (Oceanside, CA)","6-6",275,85,NA,89,122,"CA","OT",2018,"arizona","Commit",5
"Mykee Irving","Calabasas (Calabasas, CA)","6-4.5",330,85,NA,64,131,"CA","DT",2018,"arizona","Commit",5
"Steven Bailey","Glendale C.C. (Glendale, AZ)","6-3",290,84,97,3,12,"AZ","OG",2018,"arizona","Commit",1
"Tre Adams","Wakeland (Frisco, TX)","6-3",178,83,NA,211,178,"TX","WR",2018,"arizona","Commit",2
"David Watson","Amphitheater (Tucson, AZ)","6-6",300,83,NA,133,17,"AZ","OT",2018,"arizona","Commit",2
"Jaden Mitchell","Desert Oasis (Las Vegas, NV)","6-0",180,82,NA,241,12,"NV","WR",2018,"arizona","Commit",2
"PJ Johnson","City College of San Francisco (San Francisco, CA)","6-5",315,82,149,28,34,"CA","DT",2018,"arizona","Commit",2
"Jailen Bailey","Lincoln (San Diego, CA)","5-10",180,79,NA,333,264,"CA","WR",2018,"arizona","Commit",1
"Darrius Smith","Dawson (Pearland, TX)","5-9",170,77,NA,169,390,"TX","RB",2018,"arizona","Commit",1
"Bobby Wolfe","Madison (Houston, TX)","6-1",180,90,NA,31,35,"TX","CB",2019,"arizona","Commit",1
"Jalen Curry","St Pius X (Houston, TX)","6-2.5",208,89,NA,53,52,"TX","WR",2019,"arizona","Commit",2
"Grant Gunnell","St Pius X (Houston, TX)","6-5",222,89,NA,10,55,"TX","PRO",2019,"arizona","Commit",2
"Jaxen Turner","Rancho Verde (Moreno Valley, CA)","6-2",175,88,NA,39,71,"CA","S",2019,"arizona","Commit",1
"Christian Roland-Wallace","William Knight (Palmdale, CA)","6-0",180,86,NA,68,103,"CA","ATH",2019,"arizona","Commit",4
"Kwabena Watson","Edison (Fresno, CA)","6-3",205,86,NA,67,107,"CA","OLB",2019,"arizona","Commit",4
"Myles Tapusoa","Eastern Arizona College (Thatcher, AZ)","6-3",325,86,56,7,8,"AZ","DT",2019,"arizona","Commit",4
"Paiton Fears","Hutchinson C.C. (Hutchinson, KS)","6-6",327,86,72,10,14,"KS","OT",2019,"arizona","Commit",4
"Josh Donovan","Trinity Valley C.C. (Athens, TX)","6-5",330,85,97,14,3,"TX","OT",2019,"arizona","Commit",1
"Jalen Johnson","Eleanor Roosevelt (Eastvale, CA)","6-2.5",170,84,NA,159,149,"CA","WR",2019,"arizona","Commit",4
"Maurice Gaines","St. Thomas More (Oakdale, CT)","6-1.5",185,84,NA,129,11,"CT","CB",2019,"arizona","Commit",4
"Jamari Williams","Cardinal Gibbons (Fort Lauderdale, FL)","6-4",275,84,NA,69,170,"FL","OG",2019,"arizona","Commit",4
"Trevon Mason","Navarro College (Corsicana, TX)","6-4",285,84,132,13,10,"TX","DT",2019,"arizona","Commit",4
"Derrion Clark","South Oak Cliff (Dallas, TX)","6-1",215,83,NA,62,185,"TX","ILB",2019,"arizona","Commit",2
"Kyon Barrs","Murrieta Mesa (Murrieta, CA)","6-3",285,82,NA,113,177,"CA","DT",2019,"arizona","Commit",4
"Jordan Morgan","Marana (Marana, AZ)","6-5",270,82,NA,137,34,"AZ","OT",2019,"arizona","Commit",4
"Michael Wiley","Strake Jesuit (Houston, TX)","5-10.5",175,82,NA,111,217,"TX","RB",2019,"arizona","Commit",4
"Eddie Siaumau","Leone (Pago Pago, AS)","6-2",210,82,NA,150,1,"AS","S",2019,"arizona","Commit",4
"Kyle Ostendorp","Desert Vista (Phoenix, AZ)","6-2",195,75,NA,14,83,"AZ","P",2019,"arizona","Commit",1
"Kane Bradford","Skyline (Dallas, TX)","6-5",275,83,NA,109,212,"TX","DT",2019,"arizona","Commit",2
"Frank Brown","Sterling (Houston, TX)","6-0",180,89,NA,10,51,"TX","RB",2020,"arizona","Commit",1
"Khary Crump","Culver City (Culver City, CA)","5-10.5",175,87,NA,51,65,"CA","CB",2020,"arizona","Commit",5
"Josh Baker","Eureka (Eureka, MO)","6-3",280,87,NA,16,11,"MO","OC",2020,"arizona","Commit",5
"Jalen John","Lakeridge (Lake Oswego, OR)","5-11",180,87,NA,39,5,"OR","RB",2020,"arizona","Commit",5
"Derick Mourning Jr.","Paetow (Katy, TX)","6-3",210,87,NA,52,95,"TX","OLB",2020,"arizona","Commit",5
"Dion Wilson Jr.","Orange Vista (Perris, CA)","6-5.5",260,87,NA,49,72,"CA","TE",2020,"arizona","Commit",5
"Edric Whitley","Weiss (Pflugerville, TX)","5-11",160,86,NA,67,104,"TX","CB",2020,"arizona","Commit",2
"Regen Terry","Florence (Florence, AZ)","6-3.5",230,86,NA,43,18,"AZ","WDE",2020,"arizona","Commit",2
"Roberto Miranda","Germany (Germany, GERM)","6-3",225,85,NA,57,2,"GERM","WR",2020,"arizona","Commit",2
"Sam Langi","College of San Mateo (San Mateo, CA)","6-5",313,85,95,5,22,"CA","OG",2020,"arizona","Commit",2
"Ma'jon Wright","Cardinal Gibbons (Fort Lauderdale, FL)","6-3",200,84,NA,105,154,"FL","WR",2020,"arizona","Commit",4
"Will Plummer","Gilbert (Gilbert, AZ)","6-2",205,84,NA,44,31,"AZ","PRO",2020,"arizona","Commit",4
"Leif Magnuson","Bethlehem Catholic (Canada, CANA)","6-4",270,84,NA,94,2,"CANA","OT",2020,"arizona","Commit",4
"Paris Shand","The Loomis Chaffee School (Windsor, CT)","6-5",240,84,NA,79,13,"CT","SDE",2020,"arizona","Commit",4
"Shontrail Key","Morgan Park (Chicago, IL)","6-7",250,83,NA,115,29,"IL","DT",2020,"arizona","Commit",5
"Dyelan Miller","Centennial (Peoria, AZ)","6-3",190,83,NA,220,33,"AZ","WR",2020,"arizona","Commit",5
"Anthony Patt","San Marcos (San Marcos, CA)","6-5",270,83,NA,143,167,"CA","OT",2020,"arizona","Commit",5
"Isaiah Mays","City College of San Francisco (San Francisco, CA)","6-1",177,83,162,24,33,"CA","WR",2020,"arizona","Commit",5
