"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Peyton Sawyer","Clear Springs (League City, TX)","5-10",160,82,NA,237,201,"TX","WR",2018,"houston","Commit",2
"Logan Hall","Belton (Belton, TX)","6-6",225,81,NA,99,214,"TX","WDE",2018,"houston","Commit",3
"Zaire Taylor","O'Connor (Helotes, TX)","6-1",182,81,NA,169,232,"TX","S",2018,"houston","Commit",3
"Gleson Sprewell","Mesa C.C. (Mesa, AZ)","6-0",182,81,176,12,22,"AZ","S",2018,"houston","Commit",3
"Spencer Wells","Dawson (Pearland, TX)","6-4",230,80,NA,91,284,"TX","TE",2018,"houston","Commit",3
"Bo Alexander","Arizona Western College (Yuma, AZ)","6-4",300,80,206,20,23,"AZ","OT",2018,"houston","Commit",3
"Jordan Carmouche","Navarro College (Corsicana, TX)","6-2",255,80,208,15,30,"TX","WDE",2018,"houston","Commit",3
"Max Banes","St. Thomas (Houston, TX)","6-5",307,79,NA,175,312,"TX","OT",2018,"houston","Commit",1
"Kameron Lewis","Klein Collins (Spring, TX)","6-4",300,78,NA,193,332,"TX","OT",2018,"houston","Commit",2
"Johnathan Phenix","McGregor (Mcgregor, TX)","6-0",175,78,NA,183,350,"TX","S",2018,"houston","Commit",2
"Jack Freeman","Heritage (Midlothian, TX)","6-4",260,77,NA,226,382,"TX","OT",2018,"houston","Commit",2
"Zamar Kirven","Mart (Mart, TX)","6-2",200,77,NA,184,385,"TX","OLB",2018,"houston","Commit",2
"Torey Richardson","Tomball Memorial (Tomball, TX)","6-0",180,74,NA,337,489,"TX","CB",2018,"houston","Commit",1
"Nelson Ceaser","Ridge Point (Missouri City, TX)","6-3",220,87,NA,43,88,"TX","WDE",2019,"houston","Commit",1
"Gervarrius Owens","Northeastern Oklahoma A&M (Miami, OK)","6-1",190,86,50,5,2,"OK","S",2019,"houston","Commit",2
"Taures Payne","Northwest Mississippi C.C. (Senatobia, MS)","6-4",265,86,65,7,13,"MS","SDE",2019,"houston","Commit",2
"Ke'Andre Street","John Tyler (Tyler, TX)","6-3",200,85,NA,124,134,"TX","WR",2019,"houston","Commit",4
"Mannie Nunnery","Shadow Creek (Pearland, TX)","6-2",205,85,NA,76,136,"TX","S",2019,"houston","Commit",4
"Kelvin Clemmons","Hutchinson C.C. (Hutchinson, KS)","6-1",205,85,90,11,19,"KS","CB",2019,"houston","Commit",4
"Atlias Bell","Iowa Western C.C. (Council Bluffs, IA)","6-2",280,85,107,12,9,"IA","DT",2019,"houston","Commit",4
"Cam'Ron Johnson","Shadow Creek (Pearland, TX)","6-4",291,84,NA,102,154,"TX","OT",2019,"houston","Commit",3
"Damarion Williams","Highland C.C. (Highland, KS)","5-11",170,84,130,13,33,"KS","CB",2019,"houston","Commit",3
"Chayse Todd","Crosby (Crosby, TX)","6-1",280,83,NA,79,191,"TX","OG",2019,"houston","Commit",3
"Deondre Dansby","South Oak Cliff (Dallas, TX)","5-11",180,83,NA,154,201,"TX","CB",2019,"houston","Commit",3
"Terrell Brown","Helen Cox (Harvey, LA)","6-0",185,82,NA,114,70,"LA","RB",2019,"houston","Commit",4
"Terrance Edgeston","Northeast Mississippi C.C. (Booneville, MS)","6-2",218,82,184,12,35,"MS","OLB",2019,"houston","Commit",4
"Patrick Paul","Jersey Village (Houston, TX)","6-7",315,82,NA,158,241,"TX","OT",2019,"houston","Commit",4
"Olivier Charles-Pierre","New Mexico Military Institute (Roswell, NM)","6-1",340,82,216,24,1,"NM","DT",2019,"houston","Commit",4
"Jamykal Neal","Hutchinson C.C. (Hutchinson, KS)","6-3",315,80,NA,30,67,"KS","DT",2019,"houston","Commit",1
"Rodquice Chaney","Alief Elsik (Houston, TX)","6-4.5",300,84,NA,107,166,"TX","OT",2019,"houston","Commit",3
"Justin Harris","Hutchinson C.C. (Hutchinson, KS)","6-6",250,83,144,12,36,"KS","SDE",2019,"houston","Commit",3
"Derek Bowman","Magnolia (Magnolia, TX)","6-5",250,88,NA,22,62,"TX","OT",2020,"houston","Commit",1
"Sofian Massoud","Cy Lakes (Katy, TX)","6-1",180,87,NA,50,102,"TX","ATH",2020,"houston","Commit",1
"Dylan Robinson","Atascocita (Humble, TX)","6-1",185,86,NA,140,122,"TX","WR",2020,"houston","Commit",4
"Khiyon Wafer","Independence (Frisco, TX)","6-1",190,86,NA,150,129,"TX","WR",2020,"houston","Commit",4
