"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Ely Doyle","Bishop Alemany (Mission Hills, CA)","6-0",188,87,NA,49,74,"CA","S",2018,"arizona-state","Commit",6
"Jarrett Bell","Norco (Norco, CA)","6-5",295,87,NA,26,79,"CA","OG",2018,"arizona-state","Commit",6
"Dominique Harrison","Blinn College (Brenham, TX)","6-0",185,87,39,5,3,"TX","CB",2018,"arizona-state","Commit",6
"Stanley Lambert","Marshall (San Antonio, TX)","6-3",211,86,NA,65,95,"TX","WR",2018,"arizona-state","Commit",4
"Brock Sturges","Allen (Allen, TX)","5-10",200,86,NA,41,97,"TX","RB",2018,"arizona-state","Commit",4
"Darien Butler","Narbonne (Harbor City, CA)","5-11",215,86,NA,55,82,"CA","OLB",2018,"arizona-state","Commit",4
"Ralph Frias","Safford (Safford, AZ)","6-7",305,86,NA,75,16,"AZ","OT",2018,"arizona-state","Commit",4
"Demetrious Flowers","St. John Bosco (Bellflower, CA)","5-11",200,85,NA,65,133,"CA","RB",2018,"arizona-state","Commit",2
"Michael Matus","Katy (Katy, TX)","6-2",235,85,NA,50,126,"TX","SDE",2018,"arizona-state","Commit",2
"Terin Adams","City College of San Francisco (San Francisco, CA)","6-0",190,83,125,16,25,"CA","CB",2018,"arizona-state","Commit",2
"Brandon Aiyuk","Sierra College (Rocklin, CA)","6-1",195,83,137,10,30,"CA","WR",2018,"arizona-state","Commit",2
"Sione Veikoso","Kailua (Kailua, HI)","6-6",295,82,NA,65,10,"HI","OG",2018,"arizona-state","Commit",2
"Cam Phillips","Clear Lake (Houston, TX)","6-2",180,82,NA,123,195,"TX","S",2018,"arizona-state","Commit",2
"Spencer Lovell","Rocky Mountain (Fort Collins, CO)","6-7",315,81,NA,77,8,"CO","OG",2018,"arizona-state","Commit",1
"Isaiah Floyd","City College of San Francisco (San Francisco, CA)","5-7",185,80,215,11,53,"CA","RB",2018,"arizona-state","Commit",1
"Grant Miles","Horizon (Scottsdale, AZ)","6-5",230,75,NA,136,41,"AZ","TE",2018,"arizona-state","Commit",1
"Jayden Daniels","Cajon (San Bernardino, CA)","6-3",175,97,35,1,5,"CA","DUAL",2019,"arizona-state","Commit",1
"Stephon Wright","Cathedral (Los Angeles, CA)","6-3",260,91,NA,18,35,"CA","SDE",2019,"arizona-state","Commit",2
"Kejuan Markham","Long Beach Poly (Long Beach, CA)","6-1",180,91,NA,21,37,"CA","S",2019,"arizona-state","Commit",2
"Keon Markham","Long Beach Poly (Long Beach, CA)","6-0",175,90,NA,45,55,"CA","CB",2019,"arizona-state","Commit",1
"Jack Jones","Moorpark College (Moorpark, CA)","5-11",170,89,15,4,3,"CA","CB",2019,"arizona-state","Commit",1
"Jordan Clark","University Lab (Baton Rouge, LA)","5-11",168,88,NA,49,18,"LA","CB",2019,"arizona-state","Commit",2
"Dohnovan West","Bishop Alemany (Mission Hills, CA)","6-3",290,88,NA,7,77,"CA","OT",2019,"arizona-state","Commit",2
"Nolan Matthews-Harris","Reedy (Frisco, TX)","6-3.5",242,87,NA,29,74,"TX","TE",2019,"arizona-state","Commit",3
"LaDarius Henderson","Waxahachie (Waxahachie, TX)","6-4",270,87,NA,50,87,"TX","OT",2019,"arizona-state","Commit",3
"Amiri Johnson","Diamond Ranch (Pomona, CA)","6-6",235,86,NA,61,97,"CA","SDE",2019,"arizona-state","Commit",3
